ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7653964172516551 0.8358228957014424 0.9761457741260529 0.9176048829850524 0.015341007047229294 0.04672360420227051 0.8647763643945966 0.9190535043244332 0.7557462155818939 0.9873161576529004 0.9161404073238373 0.9582021098051753 0.9668644666671753 0.009310007095336914 0.004139959812164307 0.001902242511965892 0.08155939821169077 0.00030645728776776453 0.8479721801621574 0.5982025265693665
1        0.6912904381752014 0.7296149755517642 0.9359472393989563 0.9028126437436131 0.03992376257391539 0.042408883571624756 0.799601236358285 0.8890180665617589 0.7125710546970367 0.955205379621046 0.8174073398113251 0.9768185441692671 0.9345175474882126 0.006739199161529541 0.010334253311157227 0.00639410890488478 0.08402942455070471 0.0006172673976927454 0.9224594011902809 0.8089960813522339
2        0.8207104802131653 0.8297381401062012 0.9522889852523804 0.9229826223342976 0.026260584592819214 0.02118024230003357 0.8892782866954804 0.9674836621909133 0.8330057561397552 0.9774547669534908 0.8902800679206848 0.9864817082881927 0.9497134536504745 0.12298005819320679 0.002547919750213623 0.001237369563970845 0.1008956455620374 5.442808774507163e-05 0.9214786946773529 0.7081593871116638
3        0.8094058505126408 0.8769386346851076 0.9587576985359192 0.917050260606162 0.04181224795488214 0.0423307865858078 0.8629908774580274 0.8877462199346067 0.7227835357189178 0.9539015103896564 0.8826380372047424 0.9915611555001566 0.9439684748649597 0.017631351947784424 0.030366599559783936 0.0006991876917434099 0.0705172003367993 2.3130502245670045e-05 0.9167615856443133 0.5475587844848633
4        0.851753827716623 0.8664434424468449 0.9615892171859741 0.9301582821111642 0.006773357328615726 0.018042176961898804 0.8923663709844861 0.9786552926419709 0.8635786175727844 0.9765018133224048 0.8504041135311127 0.9578384658587831 0.9610174596309662 0.07190817594528198 0.0014087557792663574 0.0013667660570368656 0.17698067635665246 3.8754518346120355e-05 0.8437123043196542 0.5720863342285156
5        0.706088797085815 0.7786726732220914 0.9544637650251389 0.8895008484555396 0.0081406831741333 0.037119001150131226 0.7967465139097638 0.8398666254551745 0.619355782866478 0.9751774177829873 0.8681447207927704 0.9192244884454541 0.9689214527606964 0.004584908485412598 0.0036274194717407227 0.0012090315995954505 0.08247602759580618 3.4669094947510726e-05 0.8117761380142636 0.2939511835575104
6        0.8192815664741728 0.8593328090177642 0.955683097243309 0.9200244386048213 0.0495199999388527 0.04847100377082825 0.8650269872612424 0.9390472124637057 0.7944141626358032 0.9502757864290592 0.8637215793132782 0.9731716450717713 0.9481774121522903 0.002479374408721924 0.002037525177001953 0.0027089206270417944 0.05558972383308305 0.00026201858855617475 0.9386511974864535 0.7344091534614563
7        0.8725947499275207 0.8999441668391228 0.9665414392948151 0.9416173314114651 0.02829553975778465 0.016674071550369263 0.8841660797595978 0.9799892711843192 0.7961151897907257 0.9873708196366477 0.9195760190486908 0.9150396302342415 0.9432982206344604 0.02076542377471924 0.003751695156097412 0.0034717615207233176 0.11849921083580309 0.00010070023093909652 0.9803044915199279 0.9500001668930054
8        0.8161233791283199 0.799531438875766 0.9587070643901825 0.9303495808978753 0.03684611717859909 0.03368349373340607 0.879483950989587 0.9640514600199204 0.8000916838645935 0.9590174158054645 0.9051691293716431 0.9439551572182349 0.975316122174263 0.05962979793548584 0.11038732528686523 0.008414507099967855 0.16188526761745653 0.0006376111857915255 0.9699319856507438 0.8772281408309937
9        0.8114722184836864 0.8518172334879637 0.9535979926586151 0.9145669337373918 0.049648112975634096 0.03349849581718445 0.8416890278458595 0.9025178607054336 0.7092599272727966 0.9169529561435499 0.8007436096668243 0.9678556900471449 0.9752456247806549 0.013229966163635254 0.044427692890167236 0.0016671582840093817 0.12943658005147649 4.249067127436222e-05 0.9483148828148842 0.8455842137336731
10       0.7999813556671143 0.7796256262809038 0.9221131354570389 0.9144723882862166 0.043571884141248796 0.03650224208831787 0.8723358412583669 0.9618465944733732 0.8374755382537842 0.9557585277381335 0.8147650063037872 0.9800621228558677 0.9497183114290237 0.0008918642997741699 0.006076514720916748 0.002836122324861319 0.09101999570895719 0.00019152695057999744 0.9668215910593668 0.8500992655754089
11       0.6705702218142423 0.7325658769770103 0.9595725983381271 0.9000867288442528 0.011660451238805547 0.02749381959438324 0.7731062011285261 0.8634878856538188 0.6618538498878479 0.9692654117183039 0.8498340249061584 0.8995416006920013 0.9688538014888763 0.002187490463256836 0.0016521215438842773 0.0015147751974251748 0.09519216298106208 4.927908966237298e-05 0.7581233287399466 0.1536598652601242
12       0.8144346810877323 0.8443333152681589 0.9519111961126328 0.9125443309170308 0.01748467746533844 0.049977511167526245 0.8777937160597907 0.9467314488481762 0.7767992615699768 0.9853723445747722 0.8807702958583832 0.9604957653209567 0.9451386481523514 0.006964266300201416 0.009617269039154053 0.0010411573241810989 0.15961994610215474 2.7041652113664884e-05 0.955689549446106 0.8060643672943115
13       0.7803996112197638 0.8399756429716945 0.9667929857969284 0.9116982425971903 0.04049255698919296 0.03911304473876953 0.8614524491131306 0.8712059969106507 0.6671291589736938 0.9942346142371665 0.9180893301963806 0.9915960015108188 0.9746278077363968 0.07512813806533813 0.05814415216445923 0.002797330162403894 0.13941710858498688 9.167994740647531e-05 0.9203616380691528 0.5934572815895081
