ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8127751089632511 0.8669372294098139 0.9699057340621948 0.9322062003410468 0.045086224289501375 0.0491025447845459 0.870543297380209 0.9266130452455292 0.7847172319889069 0.990621497423537 0.8940982520580292 0.9944191984832287 0.9694812595844269 0.01564711332321167 0.003152310848236084 0.0012761749338943936 0.12368623226826071 4.2565581847796076e-05 0.9739433452486992 0.8829740285873413
1        0.6758853383362293 0.730107073361675 0.939015656709671 0.8680027375304247 0.034710273146629333 0.03842988610267639 0.7831187639385462 0.8783030476898603 0.7033982872962952 0.9570841632511442 0.8250656723976135 0.961413444330295 0.943841427564621 0.018633604049682617 0.002243220806121826 0.00699758866279534 0.08816268635955418 0.0006172673976927454 0.9431867450475693 0.836668074131012
2        0.8680271440082126 0.8952444013622072 0.9697013944387436 0.9407408184616278 0.04655743697110348 0.029917612671852112 0.890506860282686 0.983289483372177 0.7961152195930481 0.9842139827217622 0.9019843935966492 0.9196072361535497 0.9491116851568222 0.06873428821563721 0.005933165550231934 0.0029497487851136693 0.1105473572552546 0.00010070023093909652 0.9800446894433763 0.9500001668930054
3        0.8388354886661876 0.8648833636984681 0.9636820256710052 0.9345378193465419 0.027980464200178745 0.02118024230003357 0.9030082334171642 0.9679042620108476 0.8319728970527649 0.9731517792879556 0.8693388998508453 0.9683566998351704 0.9583396017551422 0.12298005819320679 0.009420692920684814 0.001492837446520947 0.11266104792665504 5.442808774507163e-05 0.9604591835628856 0.8305725455284119
4        0.8135488621062703 0.8647560026082728 0.9512226730585098 0.9244079547607975 0.011616533622145653 0.024747416377067566 0.8598961167865329 0.8987952420136196 0.6923227310180664 0.9859592350801325 0.9057627320289612 0.987418143906527 0.9510981291532516 0.0017862319946289062 0.0032552480697631836 0.005490266775104831 0.16370118935400244 0.00020597106732074736 0.9743834601508247 0.8665134310722351
5        0.8682350115850568 0.8745954432524741 0.9595726132392883 0.936379813397607 0.005221765902307274 0.01602645218372345 0.8582020066678524 0.9744722146708593 0.8123300075531006 0.9765018133224048 0.8504041135311127 0.9413572819903493 0.9637733548879623 0.06520169973373413 0.003450155258178711 0.0015323701056625654 0.1832010506016501 3.8754518346120355e-05 0.9244900420308113 0.5720863938331604
6        0.7747656084597111 0.7969640705734491 0.9538182020187378 0.934970984993568 0.03159000476201379 0.04548555612564087 0.8504223465919495 0.828263269527544 0.6107560396194458 0.9690606189418949 0.854265421628952 0.9777380116283894 0.9668960869312286 0.014625072479248047 0.001496434211730957 0.002178050258924954 0.07715197494512582 4.9629132845979804e-05 0.8585123464465141 0.21988336741924286
7        0.82719711586833 0.8664678341398637 0.9554214626550674 0.9210464818970017 0.035809897324618145 0.0401763916015625 0.8777043198545774 0.9405202867732632 0.7993757426738739 0.9328797919010974 0.8263633847236633 0.9999538316494889 0.9665177315473557 0.06983202695846558 0.004268825054168701 0.007761779889102426 0.13051140013020876 0.0008823874148203946 0.9742767860492071 0.9425323009490967
8        0.710607356702288 0.7824114644899964 0.9459982067346573 0.9063334836327768 0.051493893067041996 0.04221503436565399 0.8506802059710026 0.8112056402227047 0.5962786003947258 0.9683525007472724 0.8318913877010345 0.9237430536498626 0.9636629670858383 0.008698999881744385 0.011278510093688965 0.000847210598201231 0.032779926506956596 3.4669094947510726e-05 0.9724279443422953 0.9528601169586182
9        0.7924494178344806 0.7935428932930033 0.9596778303384781 0.9311880396679044 0.024708483706821105 0.038560643792152405 0.845081110795339 0.9356679632013787 0.7570929527282715 0.9663766573128072 0.7997587323188782 0.9676291185120741 0.9800008237361908 0.003957271575927734 0.0007416605949401855 0.002357792213938701 0.1896027107007133 5.2938925883152984e-05 0.9634429613749186 0.6765167117118835
