ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8200728769103686 0.8676080343623955 0.9686447978019714 0.9335654349339129 0.03791273633639014 0.017419084906578064 0.8995379855235418 0.9688591160891331 0.8186852931976318 0.9936496493282627 0.9297049343585968 0.9871214305361112 0.9678880125284195 0.01564711332321167 0.010444879531860352 0.0010864288621140062 0.09192196121842201 4.2565581847796076e-05 0.9715621074040731 0.8829739093780518
1        0.6932984068989754 0.7289807088673115 0.939629390835762 0.8984069251989732 0.03713482618331909 0.033396244049072266 0.8037170469760895 0.9006921829493644 0.7303211092948914 0.960204304996374 0.8377840518951416 0.978826512893041 0.945684090256691 0.018633604049682617 0.010522842407226562 0.0057069276927834665 0.0705180409723452 0.0006172673976927454 0.9553978187697274 0.8919360041618347
2        0.857307063208686 0.8877490245633655 0.9739915281534195 0.9383768008267583 0.035622574388980865 0.03183189034461975 0.8738705747657352 0.9510774000466373 0.676402360200882 0.9852884238139943 0.9086556136608124 0.9303273169530762 0.9527098089456558 0.06873428821563721 0.013460695743560791 0.002285129738063424 0.09087627600742222 0.00010070023093909652 0.9773897528648376 0.9500001668930054
3        0.7746785283088684 0.8127596328655879 0.9668152332305908 0.9242949841582045 0.04465971174447436 0.046422749757766724 0.9018214834587914 0.8946633437137912 0.735913410782814 0.9757326814902241 0.8818992674350739 0.9674863398075104 0.9610780775547028 0.12298005819320679 0.05455887317657471 0.0009855376660740291 0.04346429936928994 5.442808774507163e-05 0.9326317991529193 0.8305725455284119
4        0.8810397527284093 0.884400076750252 0.9618515074253082 0.9422901706518354 0.006220174186369998 0.012751758098602295 0.8620730737845103 0.9782571701749134 0.8205226361751556 0.9765018133224048 0.8504041135311127 0.9285525408469968 0.9657495319843292 0.014654040336608887 0.001500248908996582 0.002015478883107101 0.23072271263868088 3.8754518346120355e-05 0.9346163206630282 0.5720889568328857
5        0.7637373894453049 0.7872102652986844 0.9622043371200562 0.9142792166343757 0.03642730832099916 0.046425074338912964 0.9048799991607666 0.9650573759439531 0.8139101266860962 0.9809500552838024 0.8584620356559753 0.9768730808049441 0.9798109531402588 0.003972768783569336 0.005843997001647949 0.002728958411302681 0.06775539854549037 0.00022628400843467965 0.8866347193717956 0.5092432498931885
6        0.7968111199637254 0.7859373471389215 0.9456544667482376 0.9324679880126102 0.02820480118195212 0.03374883532524109 0.8933844467004141 0.9626345693488361 0.7960960865020752 0.9823748257392566 0.8950346112251282 0.9632674163828293 0.9614270329475403 0.3336915969848633 0.24908334016799927 0.0014148323411739994 0.10033228325432633 5.2938925883152984e-05 0.9373971422513326 0.6765167713165283
7        0.8039757877588272 0.838695964217186 0.9392425268888474 0.9154412983532292 0.040388837456703186 0.07420298457145691 0.8403688192367553 0.93287901201015 0.7621368765830994 0.9169529561435499 0.7621368765830994 0.9753521207720042 0.9615068584680557 0.2902562618255615 0.05203753709793091 0.0011275787778885335 0.08347162942590655 4.249067127436222e-05 0.9456104755401611 0.8455840945243835
8        0.8225719407200813 0.8407921947538852 0.9653685688972473 0.9252786279210578 0.010510674931786257 0.04445585608482361 0.8898261696100235 0.9705233305855145 0.8102355003356934 0.9930061792679474 0.9503969848155975 0.9484566804021597 0.9663174748420715 0.0017067790031433105 0.0027241110801696777 0.001418140756765037 0.14240101905008126 0.0003412034094994594 0.7488582551479339 0.45984405279159546
9        0.7840028256177902 0.8393145650625229 0.9548552185297012 0.9170049320567738 0.03344117850065231 0.04439358413219452 0.8848778009414673 0.9091133618807881 0.7740817070007324 0.9874970028214687 0.9043826460838318 0.9830358140170574 0.9436141103506088 0.005614876747131348 0.44110405445098877 0.004149978690323979 0.08703955050340566 0.00020597106732074736 0.9566969474156698 0.8665143251419067
10       0.7971336971968412 0.8282435303553939 0.9470398873090744 0.9101752611994743 0.02821203607779288 0.05716560781002045 0.8550306223332882 0.9560054704224861 0.789347767829895 0.9699226303122135 0.8329234719276428 0.9699827529903915 0.9754138737916946 0.011627614498138428 0.00227433443069458 0.01255950717438454 0.12158203584945644 0.0015993468647194364 0.9787462875247002 0.9432967901229858
11       0.7896913417748043 0.8276886258806502 0.943622037768364 0.9092249300294709 0.06842690881560831 0.08691336214542389 0.8656570357935769 0.9014687410101843 0.7190778255462646 0.9774786901219468 0.8559202551841736 0.9972381272486278 0.9537921249866486 0.002286672592163086 0.002517402172088623 0.0025419378001098553 0.04013401255609488 0.00018823581315563406 0.9017106379781451 0.6718416213989258
12       0.7837328176413264 0.7911382117973906 0.9411000609397888 0.9204169890420003 0.022624685366948394 0.05273200571537018 0.8842236953122276 0.960398301411062 0.7753696143627167 0.9757166517741069 0.866445004940033 0.9540535110448088 0.9743018746376038 0.006338596343994141 0.059494733810424805 0.005646262524494907 0.08444396916902981 0.0005752511385683238 0.9803315656525748 0.9426848888397217
13       0.7889191880822182 0.79988569393754 0.957080215215683 0.932096319519124 0.05745248759494104 0.06951798498630524 0.8720542341470718 0.9691066124031984 0.8133220970630646 0.9620588787113533 0.8305394649505615 0.9455672378341357 0.9285679161548615 0.4572599530220032 0.011613845825195312 0.0010883320705142375 0.07011302781669058 3.861035065675054e-05 0.9581576983133951 0.8486461043357849
14       0.7695216620340943 0.7824090127833188 0.9564959555864334 0.9275002636897721 0.028156444430351257 0.04273076355457306 0.8585354052484035 0.9152185044764298 0.7608910501003265 0.9823153794349935 0.905909538269043 0.986888298454384 0.9659315645694733 0.005991101264953613 0.0069653987884521484 0.0018206276477702472 0.09724253169474661 4.730557844717126e-05 0.936361238360405 0.7842379808425903
15       0.7613188823064169 0.8318132857481639 0.9630753993988037 0.9034780951446141 0.026722023884455326 0.033061012625694275 0.8350071079201169 0.8462920870862713 0.6197792589664459 0.9942346142371665 0.9180893301963806 0.972515272597472 0.9720861315727234 0.07512813806533813 0.05814415216445923 0.0027605943105654365 0.12991474317701393 9.167994740647531e-05 0.9265066120359633 0.5934572815895081
16       0.6970111231009165 0.7702065110206604 0.970357358455658 0.9036278529754748 0.011598598498564483 0.020416542887687683 0.8236697899798552 0.8644283832955582 0.6642652004957199 0.9127038779527998 0.7518968284130096 0.9587063292662302 0.9777868837118149 0.019756078720092773 0.0023900270462036133 0.002172906099477312 0.14004351636689974 4.749806490437048e-05 0.9470853408177694 0.8681104183197021
17       0.7915413535454057 0.8235256079245697 0.9682356119155884 0.9204593537555587 0.0026185929775237593 0.030006572604179382 0.9218270778656006 0.9663011720247319 0.8593364357948303 0.9750058691236312 0.8945953547954559 0.9858585328541019 0.9844933748245239 0.06342536211013794 0.003902614116668701 0.00312160452291223 0.16045900306724395 0.00010472874969700275 0.9640999002890154 0.941727876663208
18       0.7436491333480392 0.7875230055568474 0.9262847155332565 0.9013161467593659 0.010922390222549483 0.014888018369674683 0.7840444719684976 0.7925646220715203 0.5514173172414303 0.9231911920183871 0.8124397993087769 0.9404809743698154 0.9396509230136871 0.013103306293487549 0.007916092872619629 0.0006008299915037308 0.16691277333468454 3.224276114583474e-06 0.8595447071960994 0.6231314539909363
