ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.6685742891083161 0.737655349386235 0.9457916021347046 0.8793004944373469 0.023273293788616423 0.04600602388381958 0.7927504678567251 0.8306904870378016 0.6455844640731812 0.9842737086283844 0.8224192261695862 0.8613799816618363 0.9564631432294846 0.008510708808898926 0.0007461905479431152 0.0011477096246395812 0.10562293502278464 4.2565581847796076e-05 0.8298245519399643 0.23716817796230316
1        0.8361671395026721 0.8764559093576212 0.9683606922626495 0.9354444354605139 0.023174199461936995 0.0177391916513443 0.8323788035374421 0.9179137893504272 0.6764024645090103 0.9106900003995548 0.7816397547721863 0.9514672406590902 0.9474580585956573 0.0621371865272522 0.0024919509887695312 0.0037116714015905205 0.11608696390316924 0.00027957005513565053 0.9369746721707858 0.4134398102760315
2        0.7734564925943103 0.8139239443199975 0.9691799283027649 0.9267581673683943 0.04366380883299781 0.0349445641040802 0.9066277891397476 0.8946633437137912 0.735913410782814 0.9757326814902241 0.8818992674350739 0.9662643040929523 0.9578941613435745 0.12298005819320679 0.04958122968673706 0.0011397408332911496 0.056137486724465196 5.442808774507163e-05 0.9369366850171771 0.8305725455284119
3        0.8294160410761833 0.8642023749649524 0.9575283080339432 0.9259630461362587 0.048363403195426535 0.04123444855213165 0.9170693218708038 0.9805998036163421 0.8217965066432953 0.9875851084461686 0.9052520990371704 0.9715509649366141 0.9509313553571701 0.003187119960784912 0.04321396350860596 0.0033722915124203764 0.11254069669257472 0.00020597106732074736 0.9636495471000671 0.8665143251419067
4        0.8653903173075782 0.8607299559646182 0.939665824174881 0.9320593344998527 0.008664892779456257 0.017372652888298035 0.86638633078999 0.9685730396564409 0.8093193769454956 0.970048314949711 0.8093193769454956 0.9442019762678279 0.9576022028923035 0.05580168962478638 0.005654036998748779 0.004918810354062203 0.2251983303016376 0.00024543555307081545 0.9370080298847623 0.5464633107185364
5        0.7809807434678078 0.826435748487711 0.9468056857585907 0.9209313416890069 0.017229922115802765 0.008299916982650757 0.8356551845868428 0.9207440542956082 0.7665380537509918 0.9255466542403301 0.8073929250240326 0.9538297959499888 0.958011195063591 0.14832532405853271 0.0015069246292114258 0.006958454429551888 0.17570120967866826 0.0006611395632149753 0.9784561276435852 0.8305507898330688
6        0.8242606478078025 0.8537037649324962 0.9727919399738312 0.9269497406482696 0.0480280642708143 0.030678942799568176 0.9287681877613068 0.9836228439711725 0.8711150288581848 0.9898195539247183 0.9459224045276642 0.9626036552446229 0.988754078745842 0.0016512870788574219 0.00422745943069458 0.0007479423505269301 0.05314469627239924 3.4669094947510726e-05 0.7836263243641172 0.11543382704257965
7        0.7837466056409635 0.7921618685257017 0.9361338168382645 0.9139432256159029 0.03808097655956566 0.032331645488739014 0.8196056845941042 0.9394739667900716 0.7431460171937943 0.9484768151145033 0.768394947052002 0.996296877139493 0.9661848694086075 0.0021834373474121094 0.003934204578399658 0.001753570534425375 0.12141257766776135 8.35862712077404e-05 0.9630727924798664 0.8615875840187073
8        0.7171370152916227 0.7385203065616743 0.9490543454885483 0.9036404511626855 0.03072415788968408 0.03885820508003235 0.8216868979590279 0.8513216674155579 0.6313783526420593 0.9603007846178038 0.7941585183143616 0.9108541075672422 0.9537054896354675 0.0192527174949646 0.006919682025909424 0.002238139717219415 0.10427294155947499 5.2938925883152984e-05 0.809339138013976 0.13058947026729584
9        0.7819353813926379 0.7588902376592159 0.9363582879304886 0.9296007626331769 0.027441302935282352 0.03389914333820343 0.8642021665970484 0.9138878826901333 0.738166332244873 0.9465443375510478 0.7471152096986771 0.9781431549539169 0.9515717476606369 0.8248437941074371 0.20481806993484497 0.005778304235651219 0.11604412736518767 0.00032320898934009304 0.9271889328956604 0.6169989705085754
