ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8306570500135422 0.8792932033538818 0.9764190465211868 0.9338229537369257 0.039378854135672214 0.049367427825927734 0.9142537415027618 0.9685652936040077 0.8345628678798676 0.9914547349487455 0.9035071432590485 0.9765372574329376 0.967296689748764 0.01564711332321167 0.006702005863189697 0.0007915650430044677 0.06812244208592877 4.2565581847796076e-05 0.9659134745597839 0.8829739093780518
1        0.6843834146857262 0.7293812148272991 0.9393389672040939 0.8968565852831532 0.02450873702764511 0.07957209646701813 0.797319920733571 0.8721099910160808 0.6956688612699509 0.9657739259514155 0.8556772768497467 0.9699115206797918 0.9392168074846268 0.004918575286865234 0.13196724653244019 0.006520240359828296 0.10013028198183868 0.0006172673976927454 0.9681021049618721 0.8919360041618347
2        0.8526916839182377 0.8761804457753897 0.9728517979383469 0.9376597315811914 0.04655743697110348 0.029917612671852112 0.9028515592217445 0.9832894809295611 0.7961151897907257 0.9842139827217622 0.9019843935966492 0.9349426962435246 0.9532015919685364 0.06873428821563721 0.02169138193130493 0.002664274017622742 0.108935762189921 0.00010070023093909652 0.9780093505978584 0.9500001668930054
3        0.8213544530527932 0.8500666738975615 0.9660716503858566 0.9318032128655392 0.03690292106734383 0.046422749757766724 0.925425614629473 0.9761627530051555 0.8471527099609375 0.9754902105734526 0.8807192444801331 0.9858377354485648 0.9620267450809479 0.12298005819320679 0.05455887317657471 0.0008036690535097589 0.05273924315332594 5.442808774507163e-05 0.9390365566526141 0.8305725455284119
4        0.8289863007764021 0.8624088981499274 0.9615878164768219 0.9218649456946595 0.03654914021492006 0.024613812565803528 0.9228260964155197 0.9747099097927974 0.8190925717353821 0.9924772498231924 0.9414860010147095 0.9719807052363952 0.9530803710222244 0.033903658390045166 0.006072402000427246 0.0030314377302624105 0.09197220619604234 0.00020597106732074736 0.9620539247989655 0.8665143251419067
5        0.7422382516993417 0.7940217635697788 0.9656185060739517 0.9031407162547112 0.04569237998553688 0.03631258010864258 0.8161921699841818 0.8513216499023213 0.6313783228397369 0.967817708169493 0.8106735348701477 0.9359553439749612 0.9697476029396057 0.0192527174949646 0.003037393093109131 0.002212807202696337 0.12370584407160418 5.2938925883152984e-05 0.8484146048625311 0.13058947026729584
6        0.8359655801739011 0.8557274895054954 0.9543772637844086 0.933102271724038 0.007611721754074097 0.02482283115386963 0.8695845305919647 0.9330061263351777 0.7736796140670776 0.9787545679479406 0.8647457659244537 0.973626713401505 0.9608793407678604 0.05580168962478638 0.0017134547233581543 0.001812275953103781 0.08768492734365615 0.0002454353190053438 0.9073398794446673 0.5464618802070618
7        0.8108424239537932 0.8520529602061618 0.9674454778432846 0.9362005271137722 0.02532041445374489 0.053856849670410156 0.8286888802593405 0.9080059153817359 0.6833707541227341 0.9836085905448106 0.8720410168170929 0.9888565328649499 0.9386825263500214 0.0010748505592346191 0.0007502436637878418 0.001719831001617312 0.07949242658568094 7.685640268907273e-05 0.9535492604429071 0.7130151987075806
8        0.8164232838898897 0.840580821968615 0.9521833807229996 0.9477450864952665 0.04924651235342026 0.09418883919715881 0.8469851538538933 0.9517982298697962 0.7897360026836395 0.966547737156696 0.8442002832889557 0.980604312941432 0.9732626378536224 0.01780766248703003 0.001125037670135498 0.0014347915230803515 0.08054874377728756 4.9629132845979804e-05 0.9537465050816536 0.6899910569190979
9        0.8270843972762426 0.8612614249189695 0.9473121762275696 0.909859583022133 0.020960994388746212 0.02512219548225403 0.8767504029803805 0.9460140111644906 0.8162992000579834 0.9344588962906464 0.8304484486579895 0.9999334497584237 0.961273580789566 0.041748225688934326 0.003459930419921875 0.00849402401804163 0.16679247630433153 0.0014159884174209983 0.9532160295380486 0.7983615398406982
10       0.7173643171787262 0.7509606925504548 0.9453094899654388 0.9124556005357982 0.06168266944587231 0.024099886417388916 0.7660763964056969 0.8985764900204991 0.7052498459815979 0.9103352707992087 0.767061173915863 0.9415661603212356 0.9217168539762497 0.010579466819763184 0.0005252957344055176 0.0029346764408855895 0.07358355221319718 0.00022266853582963037 0.9009555578231812 0.7399293184280396
11       0.8354433116813501 0.8750513413300117 0.9822928011417389 0.9405496465387168 0.056704621104633146 0.06112435460090637 0.9179218113422394 0.9680727945163472 0.8385223746299744 0.9826124401884897 0.9076388776302338 0.9514209969590107 0.99319888651371 0.008698999881744385 0.005825459957122803 0.00047559449101112724 0.03883978818460565 3.4669094947510726e-05 0.8524540265401205 0.6060799360275269
12       0.7766295365989209 0.7719083288063606 0.9488205909729004 0.9217834824710401 0.02200045386950178 0.046296894550323486 0.849501995742321 0.9079631226717939 0.7038955837488174 0.9651384940916188 0.8350793123245239 0.9834489997476339 0.9630473554134369 0.050226032733917236 0.0063484907150268555 0.0015649219193747013 0.14037191410936106 5.2938925883152984e-05 0.9113401889801025 0.6765167713165283
13       0.733490826189518 0.8084007509052753 0.9459439814090729 0.908570346009281 0.036731526255607605 0.0916818380355835 0.8288308501243591 0.8673817735135871 0.6662517488002777 0.9329732888188227 0.775809109210968 0.9541629176586867 0.9646006226539612 0.1097075343132019 0.08249741792678833 0.00792241213908288 0.08863305259819196 0.0005752511385683238 0.9715124607086182 0.9426848888397217
14       0.7967840000987053 0.7953507361312707 0.9439738392829895 0.9194556862464425 0.010975247621536233 0.03854334354400635 0.8203279882669449 0.9030975961452861 0.7351574152708054 0.8887190208085674 0.7351574152708054 0.9832594826817512 0.9655553251504898 0.0021657347679138184 0.001536726951599121 0.004102384365356185 0.16197392864746796 0.00011709672426992071 0.9682025611400604 0.7962275147438049
