ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8784919399768114 0.9307556161656976 0.9612060785293579 0.945542300818488 -2.709302115988521e-09 0.0             0.8895279740293821 0.9315240741658495 0.7962971031665802 0.9873161576529004 0.9290698170661926 0.9287023674696684 0.9499370455741882 0.009310007095336914 0.003952920436859131 0.002050258729894296 0.13873069374228178 0.00030645728776776453 0.9797042359908422 0.8899765014648438
1        0.7458583650489649 0.8023711213221153 0.9446872174739838 0.9102505384882291 0.06833818554878235 0.09529364109039307 0.7647436310847601 0.8954097753696041 0.7147633731365204 0.8933196774929596 0.742891326546669 0.9686135289569695 0.9267399460077286 0.004265487194061279 0.0014774203300476074 0.001828777794505318 0.04083274131625193 0.00017096800595379664 0.8760617077350616 0.5489535331726074
2        0.8247314006090164 0.852786935120821 0.9550926834344864 0.9297372645232826 0.014617732167243935 0.018889889121055603 0.8740944564342499 0.9476402472051904 0.7990151345729828 0.9879725322078841 0.9253212809562683 0.9629029795527458 0.9675038605928421 0.06232798099517822 0.0016269683837890625 0.0021057477704900292 0.12026536191145179 0.00010070023093909652 0.9753390491008759 0.9124941229820251
3        0.832237665851911 0.8398169353604317 0.9407193064689636 0.9281153207530781 0.025461044750715534 0.010928869247436523 0.9462556292613348 0.986275293150138 0.9220376908779144 0.968645665967431 0.847409188747406 0.974954522649447 0.9515219032764435 0.12298005819320679 0.016616106033325195 0.0014113150565510672 0.10900034849020941 5.442808774507163e-05 0.9616712033748627 0.8305725455284119
4        0.8057453222572803 0.8363720495253801 0.9371032118797302 0.9096928849138997 0.03357797380416627 0.034367695450782776 0.8697825719912847 0.9536018484504383 0.8221034407615662 0.9539015103896564 0.8826380372047424 0.995221683755517 0.9437888860702515 0.0910571813583374 0.05179333686828613 0.0007296155054836897 0.14085937267397833 2.3130502245670045e-05 0.9109756350517273 0.5475587844848633
5        0.7614672966301441 0.770859270170331 0.9091959744691849 0.9236971114811144 0.010592036777072433 0.00787574052810669 0.8435545805841684 0.8870502853263229 0.7341190725564957 0.898906271481454 0.7341190725564957 0.9551843889057636 0.927905410528183 0.5601550042629242 0.004749417304992676 0.0024807647248801406 0.18498554563599723 0.00026116265001285084 0.8864139094948769 0.5421623587608337
6        0.866254979537593 0.880592678570085 0.9534633755683899 0.9288674873886285 0.007294954998152581 0.02041013538837433 0.8721251918209924 0.977904134101327 0.8177927434444427 0.9819254624177622 0.8748701512813568 0.9433373140378131 0.9630117118358612 0.07190817594528198 0.0032171010971069336 0.00059950567480992 0.17090322313191875 3.8754518346120355e-05 0.9430228206846449 0.5720889568328857
7        0.7992304258048535 0.784741984307766 0.9184548556804657 0.939407089592949 0.03151401877403259 0.03210848569869995 0.8809308052062989 0.9416411665196929 0.7378415167331696 0.9742973342619949 0.9061282575130463 0.9772445347160101 0.9749300181865692 0.0009119510650634766 0.0006004571914672852 0.0021584510068153994 0.18935054529225248 5.551937306227124e-05 0.9397117376327515 0.7254481315612793
8        0.7041368056088686 0.7143054166808724 0.9223780184984207 0.9274949476598425 0.06795700059996712 0.053277388215065 0.7530108354985714 0.8346132203654227 0.6313122063875198 0.9145811496473129 0.7132985442876816 0.9071092087775469 0.917571634054184 0.01811397075653076 0.08271908760070801 0.0016646579540989229 0.07335307410009265 8.096469641972185e-05 0.9395342618227005 0.7856978178024292
9        0.7690620260934035 0.7908683537195126 0.9216663390398026 0.9052686993095834 0.048261457019382004 0.022885724902153015 0.798942893743515 0.8786374481940504 0.7328732311725616 0.8967406483710203 0.7328732311725616 0.9419110818869537 0.9280695170164108 0.7311363816261292 0.02021932601928711 0.0017550475222445551 0.04583607648966503 0.00026116240094885783 0.9581552743911743 0.8300315737724304
10       0.7591085389256478 0.8053923189640045 0.9646776616573334 0.9280573471856477 0.04159734646479285 0.021597951650619507 0.7929668560624122 0.8519850014001487 0.643462747335434 0.9229609172721265 0.7729492783546448 0.955940379947424 0.9686600714921951 0.016749322414398193 0.0025406479835510254 0.004580877134549209 0.08870021365279634 0.0003665981047428931 0.8312195718288422 0.5153167247772217
11       0.7804276088581366 0.8120367887328153 0.9573922455310822 0.9205529610848143 0.007779132574796677 0.003930479288101196 0.8184609807589475 0.9044979154875821 0.725885272026062 0.9452607173490253 0.7634146809577942 0.9953705504828808 0.9158169478178024 0.000429689884185791 0.00047278404235839844 0.002672427535134687 0.08854457581828482 5.7742741700214e-05 0.9725703246453229 0.8703567385673523
12       0.7565340576693416 0.8166647443237405 0.9657724499702454 0.923703653437476 0.033116595612631916 0.03194257616996765 0.871964056044817 0.9260265709633222 0.7974184155464172 0.9868144635419007 0.9020336270332336 0.9696697546169162 0.9769193828105927 0.005119442939758301 0.001542806625366211 0.001664837291104439 0.05122498821784469 0.00022628400843467965 0.9143498614430428 0.6885619759559631
13       0.7238776045186179 0.7211947295637358 0.9417716562747955 0.9161720481183794 0.0171685591340065 0.03961507976055145 0.8273815257208688 0.9178762943904815 0.7600478529930115 0.9616083588691424 0.8183791637420654 0.9637990681720632 0.9580565094947815 0.003751099109649658 0.05241274833679199 0.004480235235473391 0.10870495737517218 0.00032320898934009304 0.9377844674246651 0.6169989705085754
14       0.823670874039332 0.8735743512709935 0.9533039480447769 0.8947948695490814 0.044731532151882414 0.03343112766742706 0.8464741011460623 0.9045960947848632 0.72378209233284 0.9225366211616617 0.7438996732234955 0.9556570624311765 0.9648244976997375 0.015441715717315674 0.002774059772491455 0.0034062307718202758 0.11723199269613496 7.720807265031668e-05 0.9203439421123929 0.6556527614593506
15       0.7781276494264603 0.7700685698539018 0.9303993433713913 0.9191522158082874 0.043221019563220775 0.05871650576591492 0.849685400724411 0.9567552511173254 0.7988058626651764 0.9486515386144951 0.7691803574562073 0.9980841645172664 0.9525515288114548 0.0007418990135192871 0.0032643675804138184 0.005281594225369956 0.06701560087611211 0.0005060786074200982 0.9478775262832642 0.7820450663566589
16       0.7960383093782833 0.8230065453265394 0.889466181397438 0.9118225824028726 0.01173462380062451 0.009384319186210632 0.8046341208474976 0.8504314114160906 0.6210582330822945 0.9035188483625687 0.7355755269527435 0.9964149021676608 0.9172568917274475 0.4401988983154297 0.00067138671875 0.0005387633215171285 0.05945657585920948 4.1948167318265016e-05 0.8702740328652518 0.627429187297821
17       0.8359307534992695 0.858473340049386 0.9656654596328735 0.9446391192161374 0.013191420923579833 0.033616647124290466 0.8943527713418007 0.941102415099067 0.8456313014030457 0.9392468252368107 0.8456313014030457 0.9869864950222629 0.9745733141899109 0.005416214466094971 0.0021656155586242676 0.0019639039467549296 0.10199318192254736 7.576688489310571e-05 0.8794885016977787 0.45223644375801086
18       0.8142734120289484 0.8308477575580279 0.9572862237691879 0.9198227020466856 0.021375808332647628 0.02542656660079956 0.878585096862581 0.9602476484253124 0.7839974164962769 0.9732728205926522 0.9038840532302856 0.9680023019512494 0.9741842895746231 0.49104875326156616 0.0026358962059020996 0.003221984306961442 0.17151533088058324 7.546350897492756e-05 0.8752666711807251 0.754524290561676
19       0.7227531552314759 0.7408906999975443 0.9338882565498352 0.9069337618571741 0.04938948154449463 0.0955854207277298 0.7910709917545319 0.9172556913110745 0.7185979634523392 0.9601140772603038 0.7969881296157837 0.9178044348955154 0.9256406873464584 0.0034250617027282715 0.0011408329010009766 0.001019214861144764 0.04046201124986642 7.576674037937922e-05 0.8835976779460907 0.4522363841533661
20       0.6880658939480782 0.7664150483906269 0.9633797109127045 0.910998720365266 0.0350010022521019 0.05607299506664276 0.7423390341656548 0.8616115128521742 0.6259253174066544 0.9073775866809202 0.7723351716995239 0.9170372728258371 0.9571649134159088 0.0044231414794921875 0.007793724536895752 0.004535350139093467 0.06739187509464911 0.0006520746771223573 0.8185628269399915 0.37535014748573303
21       0.8521773338317871 0.9021696656942367 0.9776566922664642 0.9433079638132235 0.012924879789352417 0.03552405536174774 0.8692296430468559 0.8989020057592119 0.7268151342868805 0.9805716581302135 0.9159024357795715 0.9640610074003538 0.9857974201440811 0.0012885332107543945 0.0006435513496398926 0.0025900197568708575 0.12745646897863683 0.0006520746771223573 0.979387629032135 0.9320868253707886
22       0.7493641482932227 0.741956510314984 0.8936776965856552 0.9071529411372885 0.011435812711715676 0.05217401683330536 0.83153578213283 0.9441116060872847 0.7834207117557526 0.9715922290272445 0.7886825799942017 0.9196848416967052 0.9415503442287445 0.0009450316429138184 0.0026767849922180176 0.0032918325094378072 0.16694946845569764 0.00011307571849345161 0.9847221970558167 0.9457312822341919
23       0.7899743715922037 0.8165242423613865 0.9575432538986206 0.9258816472862078 0.04789770841598506 0.058089688420295715 0.8465690546565585 0.9319895789030488 0.7723591029644012 0.965414649819957 0.845527708530426 0.9445120543241501 0.9340575486421585 0.0036686062812805176 0.0004709959030151367 0.0033053449291416946 0.07870662471530772 0.00031884724803834635 0.9562487204869589 0.8338680267333984
24       0.8323146432638169 0.8342812076210976 0.947496235370636 0.9237763396289089 0.02577820309886225 0.022496342658996582 0.9502973139286042 0.9900505675620117 0.9145152866840363 0.9858891140675627 0.9018184542655945 0.9708717919886112 0.9859578460454941 0.003889620304107666 0.005438268184661865 0.0011040847249077015 0.1164126557513847 3.8362858552655676e-05 0.8182397246360779 0.7546848654747009
25       0.7433481570333242 0.7288431199267507 0.92225681245327 0.9000007111692068 0.042218754688898685 0.07296812534332275 0.9049309864640236 0.9429701259379861 0.7574175596237183 0.9892379112837615 0.919565737247467 0.9869381965448459 0.9670241177082062 0.005991101264953613 0.9465847723186016 0.0009036541002552088 0.05423764396334621 4.730557844717126e-05 0.922705203294754 0.840001106262207
26       0.7636433718726039 0.7630281462334096 0.8879345506429672 0.9329382281259193 0.010489378372828151 0.012872263789176941 0.8100646759072939 0.8721521793289456 0.728783443570137 0.8916825828894672 0.6385244727134705 0.939138981513679 0.9114956110715866 0.07830542325973511 0.00121992826461792 0.00414134427514837 0.16263848748012755 0.00026116265001285084 0.9666339655717214 0.8300315737724304
27       0.7201409433037043 0.7470536651089787 0.930616706609726 0.898103104531765 0.04695138335227966 0.06048133969306946 0.8110032640397549 0.9117449992325273 0.7219957262277603 0.890799218554558 0.7148907333612442 0.9818361511247026 0.9450579285621643 0.016490519046783447 0.0016576051712036133 0.0011272096522190827 0.028969933760409763 0.00010314058368875524 0.8295424580574036 0.5221238732337952
28       0.763290649279952 0.7689812956377864 0.9308201968669891 0.9159015402020443 0.007229480005445987 0.027689635753631592 0.8733177147805691 0.9278242348490462 0.7380844354629517 0.9515396997554117 0.7908609509468079 0.9858907628804445 0.9507401883602142 0.001593172550201416 0.0012783408164978027 0.011663770271930855 0.17507301540023376 0.0009524482520112555 0.949539303779602 0.90059494972229
29       0.7773723319172859 0.8170190192759037 0.9591721445322037 0.9321281524846353 0.02756781131029129 0.056793734431266785 0.8232893079519272 0.8444468886696792 0.6140429675579071 0.9774521976173816 0.8348611295223236 0.9836824700236321 0.9677551686763763 0.027377009391784668 0.003795444965362549 0.0031892232671786014 0.08027292458605043 0.00012686568979372722 0.9811758577823639 0.9086914658546448
30       0.8195214562118054 0.8371032423029343 0.9415152221918106 0.9384536452493385 0.04661676829511474 0.03394825756549835 0.8455603927373886 0.9251551048494631 0.7602176666259766 0.92689718752234 0.838285505771637 0.9756037265062332 0.9492938667535782 0.002560257911682129 0.00889122486114502 0.003006461026182193 0.10203041815151946 0.0001260060878388627 0.8562001153826714 0.18177925050258636
31       0.8008847758173943 0.824090514332056 0.9514042288064957 0.9376300364544913 0.00514038313518872 0.004981249570846558 0.868282116121716 0.9258869245469006 0.706718772649765 0.9650633842752816 0.8826823234558105 0.9854418374598026 0.9582251161336899 0.8422689735889435 0.00440061092376709 0.003322343677114934 0.19373425168102268 8.13641799285732e-05 0.8934398293495178 0.6993403434753418
32       0.8239001721143723 0.8421515941619873 0.9629133939743042 0.9095651916688001 0.05880625458324662 0.03348630666732788 0.8814535200595855 0.9739933640029843 0.8147517740726471 0.9804561431601924 0.876088947057724 0.9445562620957693 0.9712519347667694 0.6173568964004517 0.08460712432861328 0.003586102543630874 0.05549150857662016 0.0005659879493756391 0.8421358466148376 0.5404345393180847
33       0.7725767433643341 0.8054482832551002 0.9432471394538879 0.9256455763181051 0.024029583885119554 0.01602722704410553 0.8990516722202301 0.9378194021548669 0.802595317363739 0.9803126571703391 0.8389076292514801 0.9733032822608948 0.9466348886489868 0.4094129204750061 0.3058605194091797 0.0008049710448706534 0.08469568409867494 4.966146978636382e-05 0.9355932950973511 0.7340433597564697
34       0.7738019866602761 0.7777991800435952 0.9304417222738266 0.9167972075120183 0.023758660663257936 0.08146575093269348 0.8678998861994062 0.9369355389244136 0.7726055979728699 0.9256521523086558 0.7674458622932434 0.9989627294597171 0.9430165737867355 0.05563086271286011 0.008127868175506592 0.013238493930096263 0.1710373928868847 0.0011640329526827057 0.9828674622944423 0.9419891238212585
35       0.789439247655017 0.8130920284028564 0.9642799943685532 0.9178593713752549 -3.725290298461914e-09 -2.9802322387695312e-08 0.8126097257648196 0.9360655263226043 0.7654820382595062 0.9449659540268951 0.831646740436554 0.9692776783236435 0.9319920688867569 0.002321183681488037 0.002727210521697998 0.001385292120886407 0.09572481504446366 4.432781833112497e-05 0.9121710913521903 0.7885921001434326
36       0.8122830197215081 0.831557472795248 0.9460845589637756 0.9163852881108011 0.013316062780526994 0.004928991198539734 0.8707514107227325 0.968613260806368 0.8282610177993774 0.9764481423509253 0.8738447725772858 0.9994075514376164 0.9727169275283813 0.020620107650756836 0.0019289851188659668 0.0013596612432347404 0.1375568930279845 8.037853543796322e-05 0.9426060914993286 0.7023730278015137
37       0.8315102060635885 0.8381489962339401 0.9524288773536682 0.9136256173253059 0.036537639796733856 0.024303942918777466 0.8880387743314108 0.9499363574208335 0.8520875871181488 0.9418913841864365 0.7390469610691071 0.9590430848655246 0.9796055257320404 0.018611133098602295 0.011915385723114014 0.007104522965775408 0.08884964269869781 0.0008432890154780902 0.9760357340176901 0.9379082322120667
38       0.8492239241798719 0.8700648310283821 0.9447123259305954 0.9288437213868864 0.020157802721549767 0.014404594898223877 0.8785455226898193 0.9352082205866146 0.8282287418842316 0.9263907670363016 0.7148006409406662 0.9452156350016594 0.9676574170589447 0.05220109224319458 0.004867732524871826 0.0008876215866717592 0.09031352425211614 2.5304532813589365e-05 0.9457168777783712 0.7764098048210144
39       0.8260770787795385 0.8331572140256565 0.9508463442325592 0.9314626166179999 0.013212702491066652 0.022663339972496033 0.866741955280304 0.9419832757537945 0.8469748497009277 0.9372385143250525 0.8554397523403168 0.9932744113107522 0.9633378833532333 0.11449205875396729 0.23617327213287354 0.004313078615354526 0.13166952445454552 0.0009268322715982781 0.9443857769171397 0.7455717325210571
40       0.7642557866871357 0.7724592436105013 0.9526706784963608 0.9257980397996608 0.015425119135114906 0.04624798893928528 0.8904222697019577 0.9582530642314095 0.8105171918869019 0.9722381082854721 0.9034320414066315 0.9512019954621792 0.9513505697250366 0.008633434772491455 0.004775822162628174 0.005024070299892848 0.21822633541884187 0.00022984921666100325 0.9783741474151612 0.8787645101547241
41       0.8249489522793076 0.811759954657067 0.944917231798172 0.9310081460958973 0.019520591412271804 0.03547617793083191 0.8764420260082592 0.8975657723494894 0.6648187339305878 0.9578142133422065 0.8950485289096832 0.9718258731744506 0.9772285223007202 0.035072922706604004 0.002137124538421631 0.005968584946064197 0.19524888688908654 0.00025370149765861224 0.9854260953989896 0.939002513885498
42       0.8462133991221586 0.88002000687023 0.9638711810112 0.9212580074065475 0.009044353778545622 0.029543250799179077 0.885485328733921 0.9051744891184779 0.6996399760246277 0.9925530065947576 0.9233162999153137 0.9993496480087439 0.9790950268507004 0.030636847019195557 0.002306044101715088 0.0016677873793176637 0.11729224103681038 4.2795351222360724e-05 0.9208547323942184 0.5449295043945312
