ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7583226133137941 0.7986593280608456 0.9542317986488342 0.8975316344627312 0.09461870789527893 0.15405765175819397 0.8103828206658363 0.9116892344137653 0.731063112616539 0.9363345129147063 0.7404855638742447 0.9561492806921402 0.9430269449949265 0.7536009848117828 0.5138494074344635 0.0009919900046496577 0.00927387554279445 0.00010472874969700275 0.9250808507204056 0.7917672991752625
1        0.818282850086689 0.8509866483509541 0.9582741260528564 0.9340630177121896 0.03973378737767541 0.019481897354125977 0.8503824571768442 0.9295349787932956 0.7947215139865875 0.9246891107598927 0.815867155790329 0.9693515300750732 0.9450872242450714 0.016717612743377686 0.011453509330749512 0.008498621155358856 0.10734136561787741 0.0004973391525131921 0.9234858751296997 0.6508645415306091
2        0.8113680468364195 0.8882912092588164 0.8865430951118469 0.9303368769723214 0.037013707252649186 0.026279211044311523 0.8396103222939101 0.8035780713418377 0.5555889010429382 0.9631355005847473 0.8994691073894501 0.9958241416649385 0.885638877749443 0.3794906735420227 0.003364264965057373 0.0019240882583973738 0.06995231839199773 6.66144796071716e-05 0.9024677222425287 0.3655901551246643
3        0.8411881583077567 0.8609500282577106 0.9375427961349487 0.9114607249451155 0.011567855423146978 0.010332226753234863 0.8740278397287641 0.9439079068132736 0.838387131690979 0.9426696615207348 0.8540429174900055 0.9597788477050406 0.9425317794084549 0.0026875734329223633 0.0010237693786621094 0.0011394701788907911 0.1566938675176071 4.2565581847796076e-05 0.9726647479193551 0.8829739093780518
4        0.7367810904979706 0.7414103612303734 0.9046493619680405 0.9043330162201287 0.016786596991799074 0.06273150444030762 0.815477779507637 0.8870502853263229 0.7341190725564957 0.898906271481454 0.7341190725564957 0.9304981827735901 0.9017408341169357 0.3354978561401367 0.016227424144744873 0.0021778260700018267 0.11414794000618009 0.00026116240094885783 0.9467306971549988 0.8300315737724304
5        0.846808961696095 0.8635548311803076 0.9530043751001358 0.9296031181440979 0.006876335332268169 0.02465835213661194 0.8483164211114248 0.9295839147597769 0.7663882076740265 0.9819540322819833 0.8851144313812256 0.9627833244287305 0.9710405468940735 0.05580168962478638 0.0026656389236450195 0.004375640290219675 0.14886452162923652 0.00024543555307081545 0.9319400522443984 0.5464633107185364
6        0.8244583970970578 0.8355467265678778 0.9551826417446136 0.9449461711836713 0.046317629516124725 0.06572060286998749 0.8415080606937408 0.9259037000911343 0.6963783204555511 0.9500594975531595 0.8661321997642517 0.9975274939917855 0.9661470353603363 0.0004781484603881836 0.0009211301803588867 0.00210342705382979 0.07131635963726882 9.692747063748568e-05 0.9666261474291483 0.8909010291099548
7        0.7640219454964002 0.7920146110157171 0.9538746327161789 0.9257134187422441 0.044064371423287785 0.08000226318836212 0.7877201127509276 0.8639694570203235 0.6026709601283073 0.9351061088129349 0.7992307543754578 0.9669943486650785 0.964177817106247 0.0073171257972717285 0.00664287805557251 0.0027296154772363896 0.060449552081804 0.00020735462728150233 0.9377115865548452 0.6891396045684814
8        0.8001785688102245 0.8252082224935293 0.9335533529520035 0.9279954264292846 0.039111241698265076 0.06599533557891846 0.8755449168384075 0.9664638104149521 0.7962226271629333 0.9718391975306631 0.8633654415607452 0.9730276246037748 0.9630752056837082 0.0272294282913208 0.004113614559173584 0.0032111262778553 0.09539136596841036 0.00012467663384996028 0.9486850276589394 0.7010621428489685
9        0.8183095107475916 0.8276454653768313 0.9607938528060913 0.9301139998826242 0.01868765552838647 0.04860776662826538 0.8515220681826273 0.947165694971063 0.7618941962718964 0.9628719809461259 0.8225228190422058 0.9574886485934258 0.9062057584524155 0.0009270906448364258 0.00267636775970459 0.0021249033825644693 0.06437703160474655 9.888312880577827e-05 0.8840812709596422 0.5803112983703613
