ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8258495139224189 0.8340121616742441 0.9598657339811325 0.9222513475432629 0.03571882418223793 0.04142318665981293 0.8908957583563668 0.9715581152931989 0.831132173538208 0.9720635878609052 0.9065670371055603 0.9815021982150418 0.9749782681465149 0.0033376216888427734 0.002148866653442383 0.0006097486561033182 0.04699815234645369 7.197153362663243e-05 0.8579687348433903 0.4901503026485443
1        0.8186833634972572 0.8448373364905517 0.9489870667457581 0.9224580551569278 0.07117335154460025 0.0874897837638855 0.7859542469183604 0.9286848680593911 0.7118292450904846 0.9203883498101528 0.7992740273475647 0.9219329208135605 0.946075439453125 0.045517802238464355 0.017944753170013428 0.003214448331461426 0.054480349126629336 0.0005300952949070189 0.97500808040301 0.8950788974761963
2        0.8128453471830913 0.8548271049346243 0.9690409004688263 0.901346916669891 0.020319169759750344 0.0486488938331604 0.8590106985398701 0.9151636642262049 0.7137783318758011 0.9805250784783104 0.8663367033004761 0.9993146394512483 0.9699315577745438 0.010199964046478271 0.007825970649719238 0.0021269872000055237 0.07248840845516515 0.0006520746771223573 0.8781106216566903 0.6970666646957397
3        0.8048812076449394 0.7987814527004957 0.9585695862770081 0.9324445816732588 0.049716757403479694 0.04091230034828186 0.8481332386533419 0.8808803275952855 0.6557132452726364 0.9650090675917058 0.8973706364631653 0.9621456656605005 0.9681058824062347 0.006889820098876953 0.006011962890625 0.005046170522549899 0.0835400578394181 0.000926830945755027 0.9518133501211802 0.7455717325210571
4        0.8141597427427769 0.81785111092031 0.9392029047012329 0.9361475214776066 0.008687160909175873 0.0235125869512558 0.8306049972772598 0.9167591730958202 0.7629437744617462 0.9159606726625924 0.7856391668319702 0.9693705461919307 0.936990886926651 0.0025521516799926758 0.0010405778884887695 0.008811278736409578 0.23386446535510924 0.0004973391525131921 0.9586447715759278 0.6508645415306091
5        0.757461833457152 0.7673320764054854 0.9426688402891159 0.9138699940944973 0.053242168078819874 0.05859813094139099 0.8553165048360825 0.9381733205405656 0.7527262568473816 0.9370606149465899 0.7669495046138763 0.9949061756332716 0.9379957765340805 0.004028022289276123 0.003632664680480957 0.002797774414969444 0.08420609106227443 0.00017096800595379664 0.9542104005813599 0.784970760345459
6        0.8007637411355972 0.845761276781559 0.9645305424928665 0.9098475375582301 0.0476512610912323 0.044333502650260925 0.8626330345869064 0.912001074138366 0.7450649291276932 0.9872809936436724 0.9087209105491638 0.9952651460965475 0.9656599760055542 0.02849823236465454 0.005612075328826904 0.005255044254443733 0.07471791519331639 0.0004739584909590581 0.8114136159420013 0.4400416910648346
7        0.8235153059164683 0.8430416410168011 0.9499731957912445 0.9309116695264373 0.014087442557016994 0.014375030994415283 0.919757291674614 0.9729033612638762 0.827922910451889 0.9896184375150305 0.9244725108146667 0.9686391154925029 0.9671104550361633 0.02116990089416504 0.015532493591308594 0.001209912986436943 0.09729793506590502 5.0035506637355764e-05 0.9236410558223724 0.7583159804344177
8        0.8033107176423073 0.8366672324637572 0.9717036038637161 0.9233014584518969 0.04614341777303943 0.045669570565223694 0.8807296752929688 0.9455875781396372 0.7755923271179199 0.9799338476400052 0.8748808205127716 0.9592281351486841 0.9654455333948135 0.002645730972290039 0.0010524392127990723 0.0007472856011009961 0.07150825980915444 3.229238323502198e-05 0.945870041847229 0.7755362391471863
9        0.8408413510769606 0.8900514943525195 0.970531240105629 0.9417837474820683 0.02871764131954735 0.04889054596424103 0.8904287815093994 0.9112344042699885 0.7299748063087463 0.9917085814567201 0.9302096366882324 0.9490688809504112 0.9778841882944107 0.004273653030395508 0.0034264326095581055 0.0010034860283668415 0.049713136594749956 9.692747063748568e-05 0.9006174653768539 0.6636171340942383
10       0.821655827263991 0.8273849723239739 0.964634507894516 0.9393827366905335 0.044007718563079834 0.041140004992485046 0.8746799528598785 0.9499402004301682 0.7849600613117218 0.9536428054466519 0.8727275133132935 0.9832180961966515 0.9783861339092255 0.0030432939529418945 0.001116931438446045 0.0010478887530145197 0.08623942805985164 5.2938925883152984e-05 0.9353838562965393 0.6765167713165283
11       0.7450735077261925 0.7438635976053775 0.9437207281589508 0.930670676348002 0.055614727735519454 0.04189245402812958 0.8271564155817032 0.908014293372799 0.688484326004982 0.9159961712407725 0.7111294716596603 0.9870765514671802 0.9482793509960175 0.0014624595642089844 0.0006619095802307129 0.0023898442238653762 0.02432413571177552 0.00026116265001285084 0.9305385708808899 0.8300315737724304
12       0.792050126940012 0.7804962365577619 0.9380513429641724 0.9143494793720413 0.005850009620189667 0.035921961069107056 0.8524300158023834 0.9570805513242551 0.7723306715488434 0.971464922983543 0.8394469618797302 0.981585621301617 0.9645363688468933 0.1400432586669922 0.004531145095825195 0.0033527582972009452 0.14603839635931481 0.00022266853582963037 0.9572587385773659 0.73992919921875
13       0.8030600739376885 0.8122373542615345 0.945299431681633 0.9238677624492876 0.006615832448005676 0.04662778973579407 0.8721273733036858 0.9006782558298567 0.7358499020338058 0.8903939658515693 0.7358499020338058 0.9912868793166819 0.9667225778102875 0.015726566314697266 0.003027796745300293 0.0046388547232529475 0.10926084821361765 0.00043119053240696674 0.8984154633113316 0.5305319428443909
14       0.735042966902256 0.7630337762335937 0.9166153222322464 0.9110371152291427 0.042119655920111576 0.05408287048339844 0.821837916970253 0.9248595904572374 0.8074961006641388 0.9350453303982573 0.7852300703525543 0.9566140398383141 0.9147140979766846 0.012767910957336426 0.0030213594436645508 0.0049079212375718675 0.07760671498894453 0.0003467367558767243 0.9785152822732925 0.9509506821632385
15       0.788158648647368 0.8215920197156568 0.9631581008434296 0.9261945345788263 0.026336472142826417 0.015766173601150513 0.8621600978076458 0.9317420582022358 0.811080127954483 0.938543393208862 0.8442486524581909 0.9951374173785249 0.9614266008138657 0.11933046579360962 0.0004195570945739746 0.0007773231640382578 0.09606144514985568 2.2043869861185156e-05 0.9760529398918152 0.8757653832435608
16       0.7940372737745444 0.8150877710431814 0.9475685656070709 0.9218406842433309 0.044195333123207114 0.03845098614692688 0.8248846679925919 0.9291597884675218 0.8030028939247131 0.9263308778350643 0.8063563406467438 0.9319411280254524 0.9303895831108093 0.013110160827636719 0.002827942371368408 0.010866096757904786 0.11058212700338606 0.0008473023599336899 0.9745631118615469 0.9350868463516235
17       0.749635323882103 0.7770616993308067 0.9546353667974472 0.9158484188989661 0.03182611411268066 0.07309779524803162 0.844066376487414 0.9459683139162891 0.8166955411434174 0.9512342851931246 0.8419629037380219 0.985726294418176 0.9598473459482193 0.2224610447883606 0.21893781423568726 0.002218603721342964 0.08682089363940164 0.00010472874969700275 0.9813003242015839 0.9501411318778992
18       0.7241438142955303 0.7679196771234273 0.9443773329257965 0.9159837813427051 0.015517450869083405 0.03917926549911499 0.7786841119329134 0.8597069147275791 0.6302921175956726 0.8972251847730404 0.7426897138357162 0.9084945470094681 0.9530428498983383 0.008067071437835693 0.012499451637268066 0.0019225961585313586 0.06787120955462363 0.00026116240094885783 0.9609399735927582 0.8300315737724304
19       0.7397784656948514 0.7791134897205565 0.9433747082948685 0.9050103692521512 0.007683771351973179 0.02737225592136383 0.8307162175575892 0.9441113136819075 0.6893279999494553 0.9703857467862917 0.8548958003520966 0.9798525319331222 0.9260018318891525 0.1513822078704834 0.0033375024795532227 0.0026033011335780446 0.07710765701981483 0.00028885169490983157 0.8895089957449172 0.627281665802002
20       0.7836196389463213 0.8361132538153065 0.9617856293916702 0.9304941006448885 0.004277744463511923 0.0037383437156677246 0.8299487117264006 0.8696089327007062 0.6343850046396255 0.9192081055266952 0.7901463210582733 0.9447715726163652 0.9804234206676483 0.028940200805664062 0.0012007951736450195 0.0022177668400915817 0.06811204821919593 0.0001607982401582403 0.9415361881256104 0.750891387462616
21       0.8090603481978178 0.8296598540619016 0.9507740885019302 0.9483125679390995 0.020386924346288082 0.030276328325271606 0.8808172717690468 0.9020242815200132 0.7772596776485443 0.9244472482687662 0.7772596776485443 0.9646961580961942 0.9701887965202332 0.006204843521118164 0.8613551259040833 0.0020508049696994807 0.08545301716913893 9.888312880577827e-05 0.9790919572114944 0.9453865885734558
22       0.7952909648418427 0.842327082157135 0.9664505869150162 0.9189023640066545 0.01976897567510605 0.049653202295303345 0.8543353289365768 0.9421006507518772 0.744489848613739 0.9362410266617074 0.8507772386074066 0.9723851278424263 0.945252075791359 0.02261817455291748 0.0011270642280578613 0.0011472621667303865 0.17944794443978312 2.1832227045668535e-05 0.9348977178335189 0.4456855356693268
23       0.7362524189520627 0.7723530788207427 0.9586644917726517 0.917600731307175 0.05127919145992821 0.0676402896642685 0.8224621564149857 0.8286196373517782 0.5772947072982788 0.9852363643639777 0.9183236956596375 0.9787384854474416 0.9838964492082596 0.003450751304626465 0.0011550188064575195 0.0017054500398076963 0.06072387657667102 0.00010070023093909652 0.9216358289122581 0.6010348200798035
24       0.7335486765950918 0.7584638772532344 0.9180251806974411 0.9271586975556309 0.018564051017165184 0.054763078689575195 0.8110000677406788 0.9322843306000466 0.7070827931165695 0.9566549662188777 0.7861948013305664 0.9777093213051558 0.9008886814117432 0.5274083912372589 0.004214346408843994 0.001590093231702777 0.07534340798523495 9.6495276174183e-05 0.984125941991806 0.9659311771392822
25       0.7334982886910438 0.7334495775401593 0.8846338242292404 0.9147475462199913 0.02831234826761131 0.06954003870487213 0.8773622870445251 0.9560651260906958 0.8083052933216095 0.9805068202791354 0.8451915681362152 0.9310383763164282 0.9322111904621124 0.007200360298156738 0.017846345901489258 0.002071675486056265 0.11442513411790321 0.00010472874969700275 0.9830236196517944 0.9501411318778992
