ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7309284582734108 0.773185957223177 0.9445370137691498 0.9166996601811597 0.031564096158200994 0.01943683624267578 0.8736743688583374 0.9287703725555438 0.8172321021556854 0.98700607898349 0.8532730638980865 0.923734150826931 0.9604953080415726 0.009310007095336914 0.0022306442260742188 0.002528923536505665 0.06813537167084022 0.00030645728776776453 0.9637635111808777 0.8899765014648438
1        0.6880797650665045 0.7214191509410739 0.9278503358364105 0.8982582907709811 0.06123507767915726 0.10182096064090729 0.7466687485575676 0.8954097753696041 0.7158532738685608 0.8933196774929596 0.742891326546669 0.9736078710605701 0.8915308713912964 0.006403446197509766 0.0025159120559692383 0.0016349079990696188 0.029501800441139404 0.00017096800595379664 0.9327726811170578 0.7849708199501038
2        0.8335904787693705 0.8788841930883271 0.9825806617736816 0.9391606162472438 0.05010601878166199 0.06754288077354431 0.8645720481872559 0.9347746967958215 0.7751491963863373 0.9754740792755001 0.8834680914878845 0.9540439013923917 0.9584802687168121 0.024377524852752686 0.007327377796173096 0.0051502948979311345 0.06948894587837266 0.0005752511385683238 0.9714027983801705 0.9426848888397217
3        0.837999738752842 0.8537257052958012 0.9665771573781967 0.936623611367575 0.0033182501792907715 0.00826108455657959 0.9169541262090206 0.9787356336912953 0.8559091687202454 0.9754902105734526 0.8807192444801331 0.969192449748516 0.9512563943862915 0.12298005819320679 0.014450490474700928 0.0010201718301905028 0.06300399617933952 5.442808774507163e-05 0.9545217752456665 0.8305723667144775
4        0.809815621801785 0.8441241042954581 0.939473956823349 0.9071490286212218 0.0304216614791325 0.05602958798408508 0.8336091041564941 0.9453001528686564 0.7817830145359039 0.9554303055246207 0.8204236030578613 0.9911513842110123 0.9355147182941437 0.002911508083343506 0.007753908634185791 0.0012093427613262809 0.08007218288505677 8.669923560892869e-05 0.9447622810091291 0.7131129503250122
5        0.8025886317094167 0.8105689013997714 0.9355985820293427 0.9123847708410147 0.013355615638917517 0.005505889654159546 0.8545095523198446 0.9131167397178501 0.7751160562038422 0.9174811098921838 0.7829717099666595 0.9963057239850363 0.9376617819070816 0.003975629806518555 0.0015696883201599121 0.0027431590730290717 0.12235954792765179 0.00017488958196005313 0.931916610399882 0.6271138787269592
6        0.8352793306112289 0.8542228192090988 0.9594742059707642 0.9300491044996306 0.008247541056738972 0.028141513466835022 0.8309549582856042 0.9348336802308106 0.7215100675821304 0.9499561540072097 0.8021053969860077 0.9743129629641771 0.9623802155256271 0.019078612327575684 0.0033080577850341797 0.0029712931557183534 0.13524106575935382 0.00010472874969700275 0.9733824644769941 0.9370739459991455
7        0.8336168026382272 0.8351183202343456 0.9503548443317413 0.9470364120552095 0.04352347978523796 0.04313887655735016 0.856402104551142 0.9393025522335527 0.7289422750473022 0.9431649054590463 0.862894594669342 0.9883690884506161 0.9676078259944916 0.0008522272109985352 0.012765467166900635 0.0035582248904570887 0.14166415729980647 9.167994740647531e-05 0.9818378199230541 0.9188304543495178
8        0.7470785066485405 0.7723381422460078 0.9515979886054993 0.9429005318791559 0.035806022584438324 0.10413366556167603 0.8469942271709442 0.9566467894853403 0.8021911978721619 0.9578532240858948 0.8194701075553894 0.9500509098172187 0.9567008018493652 0.04522144794464111 0.0146254301071167 0.0022158742464548596 0.04344146598591626 0.0002767491590720898 0.8927822351455689 0.5215479731559753
9        0.8127924179037412 0.8438283440967401 0.9602870047092438 0.9264270852804184 0.05823060274124148 0.043974995613098145 0.8640437771876653 0.9244425320685248 0.7830204665660858 0.9161253436430474 0.7830204665660858 0.9856414736972915 0.9627469629049301 0.003749668598175049 0.07662969827651978 0.007108089471265191 0.10151905885873656 0.0008969379816465172 0.9555018444856008 0.8397971987724304
10       0.8201207162014076 0.8568748020167862 0.961541473865509 0.9430101679161538 0.006197241942087817 0.001896202564239502 0.8547283868704524 0.8402580018820629 0.5888420790433884 0.9411309103985592 0.8287845849990845 0.9830474427768162 0.9653224349021912 0.0011025667190551758 0.0005193352699279785 0.0025986931201122704 0.145845143683243 5.228814913328267e-05 0.9790625061307635 0.9021489024162292
11       0.787132403254509 0.7703248728598867 0.9380944222211838 0.9286967793952173 0.05065269361842761 0.04567854106426239 0.8049328207969666 0.9346154222925191 0.7642791569232941 0.9276886837158722 0.688979759812355 0.9886657560865084 0.8892606347799301 0.002891361713409424 0.13940542936325073 0.002728783049093312 0.047128503969439996 0.0002943766405178492 0.970182478427887 0.8910239338874817
12       0.7859603228668371 0.8438153099268675 0.9761075228452682 0.9290248942259071 0.04682261978878699 0.06003132462501526 0.8969601889451345 0.9299361048247938 0.8013962507247925 0.984050030537599 0.8814943432807922 0.9990960198144118 0.9825756102800369 0.005119442939758301 0.0017533302307128906 0.0008291517862712099 0.03853777344540441 0.0001061960406363925 0.876245121161143 0.6104191541671753
13       0.7279218050340811 0.7249792957057555 0.9419419169425964 0.9102616988248744 0.03274324238300319 0.03517293930053711 0.7985461900631586 0.9213881989195958 0.7443864047527313 0.929126469412398 0.7785236835479736 0.9678432686875263 0.9565575867891312 0.002517998218536377 0.547972708940506 0.0029916641058049865 0.06418628507501284 0.000497338678213842 0.9253396689891815 0.6508642435073853
14       0.7868397850543261 0.8370832959190011 0.9498477727174759 0.8527580957653399 0.03229245001619507 0.0365738570690155 0.8449207525700331 0.9279393395939743 0.7371378690004349 0.936012619577542 0.7859750390052795 0.9924881514161825 0.9684141874313354 0.41880351305007935 0.007032036781311035 0.0030833998843882767 0.09442581612781088 0.00010070023093909652 0.9653280898928642 0.9074909090995789
