ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7274242639541626 0.775015652179718 0.9426329135894775 0.9098362922668457 0.02851790189743042 0.030756711959838867 0.8206915855407715 0.8891302347183228 0.7188811302185059 0.9583765864372253 0.8354912996292114 0.920229971408844 0.9507850408554077 0.5293341279029846 0.0024186372756958008 0.003241793662530528 0.06322905610938101 0.0003355405379777747 0.9178158640861511 0.6857675313949585
1        0.7093099355697632 0.7311749458312988 0.9299209713935852 0.8962970972061157 0.041820526123046875 0.0750839114189148 0.7380570769309998 0.8992273211479187 0.7018883228302002 0.8837414979934692 0.7198071479797363 0.9948379397392273 0.8943405151367188 0.02888023853302002 0.007853090763092041 0.002673513440334328 0.04257702474436215 0.0003241000931516627 0.9116336852312088 0.6933687329292297
2        0.8517484068870544 0.8751565217971802 0.9749372601509094 0.9415667653083801 0.04098093509674072 0.040631115436553955 0.8688221573829651 0.9334753751754761 0.8121433258056641 0.923166036605835 0.8121433258056641 0.9358859658241272 0.9527524709701538 0.07684653997421265 0.003144502639770508 0.004067006557540367 0.08562516378011471 0.00029437972866790265 0.9469646587967873 0.8218392133712769
3        0.7820480465888977 0.797478199005127 0.9333257675170898 0.9245525598526001 0.021477878093719482 0.01500403881072998 0.8321831822395325 0.896001398563385 0.7727038860321045 0.9142736196517944 0.7727038860321045 0.9748558402061462 0.9381080865859985 0.22123819589614868 0.0014296770095825195 0.0029601541869649726 0.09970888313327692 0.00026116538973245014 0.9692537614277431 0.8300321698188782
4        0.7932903170585632 0.8310510516166687 0.94737708568573 0.9040932655334473 0.015220880508422852 0.018198728561401367 0.839130699634552 0.9060189723968506 0.7276626229286194 0.953901469707489 0.8826379776000977 0.9923233389854431 0.9374074339866638 0.0028418302536010742 0.0003713369369506836 0.0008569348425584833 0.13125958194726445 2.3130766954775724e-05 0.9327922463417053 0.5475602746009827
5        0.7802596688270569 0.7863719463348389 0.9451530575752258 0.9208693504333496 0.009645342826843262 0.04429391026496887 0.8514655828475952 0.9142428636550903 0.7891885042190552 0.9198448657989502 0.7891885042190552 0.973976731300354 0.9433566927909851 0.006671547889709473 0.008686840534210205 0.003247876698587864 0.11935084602700158 0.00011307712038845273 0.9707195030318366 0.8833823800086975
6        0.8300327062606812 0.8519091606140137 0.9576427340507507 0.9319930672645569 0.02616208791732788 0.04723736643791199 0.8564823865890503 0.9668461680412292 0.8222286701202393 0.9663654565811157 0.8501360416412354 0.9795596599578857 0.9623860120773315 0.3789947032928467 0.6641726791858673 0.0012284243116788911 0.09499319479814751 6.66152419537534e-05 0.8585894048213959 0.36559155583381653
7        0.7910168766975403 0.7904118299484253 0.9380807280540466 0.9409794807434082 0.026649296283721924 0.039595723152160645 0.9011003375053406 0.9677719473838806 0.8020615577697754 0.9892371296882629 0.907691478729248 0.969031035900116 0.9647302627563477 0.0018767714500427246 0.004576385021209717 0.001990516764741621 0.10953079674097754 7.685750213659603e-05 0.9329001704851786 0.7130150198936462
8        0.719304084777832 0.7182870507240295 0.91476970911026 0.9230415225028992 0.01574873924255371 0.04342001676559448 0.7099301218986511 0.8630039691925049 0.6124042272567749 0.9228074550628662 0.7318234443664551 0.922276496887207 0.8933656811714172 0.012997746467590332 0.02241748571395874 0.002921354766435651 0.13641643926817656 0.0001738786128371533 0.9288575500249863 0.4828159809112549
9        0.775526225566864 0.8072847127914429 0.9632789492607117 0.9130217432975769 0.05840200185775757 0.04233676195144653 0.8124294877052307 0.9008037447929382 0.6790392398834229 0.9147536158561707 0.7794718742370605 0.9483752250671387 0.9543221592903137 0.00367051362991333 0.0238950252532959 0.005996412686718264 0.09566414905095368 0.0008621763055313656 0.9649912970406669 0.8199079632759094
